id,time,value
TSADC01/Table_1_2/International_visitors,2,7993.0
TSADC01/Table_1_2/International_visitors,3,8534.0
TSADC01/Table_1_2/International_visitors,4,9120.0
TSADC01/Table_1_2/International_visitors,5,9270.0
TSADC01/Table_1_2/International_visitors,6,9645.0
TSADC01/Table_1_2/International_visitors,7,9664.0
TSADC01/Table_1_2/International_visitors,8,10138.0
TSADC01/Table_1_2/International_visitors,9,10198.0
TSADC01/Table_1_2/International_visitors,10,11672.0
TSADC01/Table_1_2/International_visitors,11,13028.0
TSADC01/Table_1_2/International_visitors,12,14266.0
TSADC01/Table_1_2/International_visitors,13,15400.0
TSADC01/Table_1_2/International_visitors,14,16617.0
TSADC01/Table_1_2/International_visitors,15,12795.0
TSADC01/Table_1_2/International_visitors,16,412.0
TSADC01/Table_1_2/International_visitors,17,2520.0
TSADC01/Table_1_2/International_visitors,18,11288.0
TSADC01/Table_1_2/International_visitors,19,16833.0
TSADC01/Table_1_2/Total,0,28760.0
TSADC01/Table_1_2/Total,1,29988.0
TSADC01/Table_1_2/Total,2,31916.0
TSADC01/Table_1_2/Total,3,33717.0
TSADC01/Table_1_2/Total,4,34165.0
TSADC01/Table_1_2/Total,5,36060.0
TSADC01/Table_1_2/Total,6,36407.0
TSADC01/Table_1_2/Total,7,38369.0
TSADC01/Table_1_2/Total,8,40034.0
TSADC01/Table_1_2/Total,9,40588.0
TSADC01/Table_1_2/Total,10,44385.0
TSADC01/Table_1_2/Total,11,47560.0
TSADC01/Table_1_2/Total,12,50347.0
TSADC01/Table_1_2/Total,13,54294.0
TSADC01/Table_1_2/Total,14,60339.0
TSADC01/Table_1_2/Total,15,48405.0
TSADC01/Table_1_2/Total,16,30871.0
TSADC01/Table_1_2/Total,17,37528.0
TSADC01/Table_1_2/Total,18,71621.0
TSADC01/Table_1_2/Total,19,78115.0
TSADC01/Table_1_2/Household_visitors,0,58.7
TSADC01/Table_1_2/Household_visitors,1,59.9
TSADC01/Table_1_2/Household_visitors,2,59.7
TSADC01/Table_1_2/Household_visitors,3,59.8
TSADC01/Table_1_2/Household_visitors,4,59.4
TSADC01/Table_1_2/Household_visitors,5,61.1
TSADC01/Table_1_2/Household_visitors,6,59.3
TSADC01/Table_1_2/Household_visitors,7,58.9
TSADC01/Table_1_2/Household_visitors,8,59.9
TSADC01/Table_1_2/Household_visitors,9,59.8
TSADC01/Table_1_2/Household_visitors,10,57.9
TSADC01/Table_1_2/Household_visitors,11,57.2
TSADC01/Table_1_2/Household_visitors,12,56.7
TSADC01/Table_1_2/Household_visitors,13,56.4
TSADC01/Table_1_2/Household_visitors,14,55.8
TSADC01/Table_1_2/Household_visitors,15,57.5
TSADC01/Table_1_2/Household_visitors,16,86.0
TSADC01/Table_1_2/Household_visitors,17,80.4
TSADC01/Table_1_2/Household_visitors,18,67.7
TSADC01/Table_1_2/Household_visitors,19,62.8
TSADC01/Table_1_2/Business_government_visitors,0,15.5
TSADC01/Table_1_2/Business_government_visitors,1,15.5
TSADC01/Table_1_2/Business_government_visitors,2,15.3
TSADC01/Table_1_2/Business_government_visitors,3,14.8
TSADC01/Table_1_2/Business_government_visitors,4,14.0
TSADC01/Table_1_2/Business_government_visitors,5,13.2
TSADC01/Table_1_2/Business_government_visitors,6,14.2
TSADC01/Table_1_2/Business_government_visitors,7,15.9
TSADC01/Table_1_2/Business_government_visitors,8,14.8
TSADC01/Table_1_2/Business_government_visitors,9,15.0
TSADC01/Table_1_2/Business_government_visitors,10,15.8
TSADC01/Table_1_2/Business_government_visitors,11,15.4
TSADC01/Table_1_2/Business_government_visitors,12,14.9
TSADC01/Table_1_2/Business_government_visitors,13,15.3
TSADC01/Table_1_2/Business_government_visitors,14,16.7
TSADC01/Table_1_2/Business_government_visitors,15,16.1
TSADC01/Table_1_2/Business_government_visitors,16,12.7
TSADC01/Table_1_2/Business_government_visitors,17,12.9
TSADC01/Table_1_2/Business_government_visitors,18,16.5
TSADC01/Table_1_2/Business_government_visitors,19,15.7
TSADC01/Table_1_2/Total_domestic_visitors,0,74.2
TSADC01/Table_1_2/Total_domestic_visitors,1,75.4
TSADC01/Table_1_2/Total_domestic_visitors,2,75.0
TSADC01/Table_1_2/Total_domestic_visitors,3,74.7
TSADC01/Table_1_2/Total_domestic_visitors,4,73.3
TSADC01/Table_1_2/Total_domestic_visitors,5,74.3
TSADC01/Table_1_2/Total_domestic_visitors,6,73.5
TSADC01/Table_1_2/Total_domestic_visitors,7,74.8
TSADC01/Table_1_2/Total_domestic_visitors,8,74.7
TSADC01/Table_1_2/Total_domestic_visitors,9,74.9
TSADC01/Table_1_2/Total_domestic_visitors,10,73.7
TSADC01/Table_1_2/Total_domestic_visitors,11,72.6
TSADC01/Table_1_2/Total_domestic_visitors,12,71.7
TSADC01/Table_1_2/Total_domestic_visitors,13,71.6
TSADC01/Table_1_2/Total_domestic_visitors,14,72.5
TSADC01/Table_1_2/Total_domestic_visitors,15,73.6
TSADC01/Table_1_2/Total_domestic_visitors,16,98.7
TSADC01/Table_1_2/Total_domestic_visitors,17,93.3
TSADC01/Table_1_2/Total_domestic_visitors,18,84.2
TSADC01/Table_1_2/Total_domestic_visitors,19,78.4
TSADC01/Table_1_2/International_visitors,0,25.8
TSADC01/Table_1_2/International_visitors,1,24.6
TSADC01/Table_1_2/International_visitors,2,25.0
TSADC01/Table_1_2/International_visitors,3,25.3
TSADC01/Table_1_2/International_visitors,4,26.7
TSADC01/Table_1_2/International_visitors,5,25.7
TSADC01/Table_1_2/International_visitors,6,26.5
TSADC01/Table_1_2/International_visitors,7,25.2
TSADC01/Table_1_2/International_visitors,8,25.3
TSADC01/Table_1_2/International_visitors,9,25.1
TSADC01/Table_1_2/International_visitors,10,26.3
TSADC01/Table_1_2/International_visitors,11,27.4
TSADC01/Table_1_2/International_visitors,12,28.3
TSADC01/Table_1_2/International_visitors,13,28.4
TSADC01/Table_1_2/International_visitors,14,27.5
TSADC01/Table_1_2/International_visitors,15,26.4
TSADC01/Table_1_2/International_visitors,16,1.3
TSADC01/Table_1_2/International_visitors,17,6.7
TSADC01/Table_1_2/International_visitors,18,15.8
TSADC01/Table_1_2/International_visitors,19,21.5
TSADC01/Table_1_2/Total,0,100.0
TSADC01/Table_1_2/Total,1,100.0
TSADC01/Table_1_2/Total,2,100.0
TSADC01/Table_1_2/Total,3,100.0
TSADC01/Table_1_2/Total,4,100.0
TSADC01/Table_1_2/Total,5,100.0
TSADC01/Table_1_2/Total,6,100.0
TSADC01/Table_1_2/Total,7,100.0
TSADC01/Table_1_2/Total,8,100.0
TSADC01/Table_1_2/Total,9,100.0
TSADC01/Table_1_2/Total,10,100.0
TSADC01/Table_1_2/Total,11,100.0
TSADC01/Table_1_2/Total,12,100.0
TSADC01/Table_1_2/Total,13,100.0
TSADC01/Table_1_2/Total,14,100.0
TSADC01/Table_1_2/Total,15,100.0
TSADC01/Table_1_2/Total,16,100.0
TSADC01/Table_1_2/Total,17,100.0
TSADC01/Table_1_2/Total,18,100.0
TSADC01/Table_1_2/Total,19,100.0
TSADC01/Table_1_2/Household_visitors,0,1.8
TSADC01/Table_1_2/Household_visitors,1,1.8
TSADC01/Table_1_2/Household_visitors,2,1.7
TSADC01/Table_1_2/Household_visitors,3,1.7
TSADC01/Table_1_2/Household_visitors,4,1.6
TSADC01/Table_1_2/Household_visitors,5,1.7
